name,author,narrator,time,releasedate,language,stars,price
Geronimo Stilton #11 & #12,Writtenby:GeronimoStilton,Narratedby:BillLobely,2 hrs and 20 mins,04-08-08,English,5 out of 5 stars34 ratings,468.00
The Burning Maze,Writtenby:RickRiordan,Narratedby:RobbieDaymond,13 hrs and 8 mins,01-05-18,English,4.5 out of 5 stars41 ratings,820.00
The Deep End,Writtenby:JeffKinney,Narratedby:DanRussell,2 hrs and 3 mins,06-11-20,English,4.5 out of 5 stars38 ratings,410.00
Daughter of the Deep,Writtenby:RickRiordan,Narratedby:SoneelaNankani,11 hrs and 16 mins,05-10-21,English,4.5 out of 5 stars12 ratings,615.00
"The Lightning Thief: Percy Jackson, Book 1",Writtenby:RickRiordan,Narratedby:JesseBernstein,10 hrs,13-01-10,English,4.5 out of 5 stars181 ratings,820.00
The Hunger Games: Special Edition,Writtenby:SuzanneCollins,Narratedby:TatianaMaslany,10 hrs and 35 mins,30-10-18,English,5 out of 5 stars72 ratings,656.00
Quest for the Diamond Sword,Writtenby:WinterMorgan,Narratedby:LukeDaniels,2 hrs and 23 mins,25-11-14,English,5 out of 5 stars11 ratings,233.00
The Dark Prophecy,Writtenby:RickRiordan,Narratedby:RobbieDaymond,12 hrs and 32 mins,02-05-17,English,5 out of 5 stars50 ratings,820.00
Merlin Mission Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,10 hrs and 56 mins,02-05-17,English,5 out of 5 stars5 ratings,"1,256.00"
The Tyrant’s Tomb,Writtenby:RickRiordan,Narratedby:RobbieDaymond,13 hrs and 22 mins,24-09-19,English,5 out of 5 stars58 ratings,820.00
"The Titan's Curse: Percy Jackson, Book 3",Writtenby:RickRiordan,Narratedby:JesseBernstein,8 hrs and 48 mins,14-01-10,English,4.5 out of 5 stars130 ratings,820.00
Magic Tree House Collection: Books 9-16,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,5 hrs and 23 mins,24-08-11,English,5 out of 5 stars6 ratings,"1,206.00"
Magic Tree House Collection: Books 1-8,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,6 hrs and 1 min,27-09-11,English,5 out of 5 stars7 ratings,"1,206.00"
Magnus Chase and the Ship of the Dead,Writtenby:RickRiordan,Narratedby:MichaelCrouch,12 hrs and 58 mins,03-10-17,English,5 out of 5 stars41 ratings,820.00
Northern Lights,Writtenby:PhilipPullman,"Narratedby:PhilipPullman,fullcast,RuthWilson",11 hrs and 55 mins,24-06-21,English,4 out of 5 stars2 ratings,"1,093.00"
Geronimo Stilton #13 and #14,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 25 mins,08-02-08,English,4.5 out of 5 stars33 ratings,467.00
Magic Tree House Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,5 hrs and 4 mins,26-12-04,English,5 out of 5 stars7 ratings,"1,206.00"
Exile,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,14 hrs and 41 mins,06-11-18,English,5 out of 5 stars20 ratings,836.00
Merlin Mission Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,10 hrs and 18 mins,02-05-17,English,5 out of 5 stars11 ratings,"1,256.00"
Neverseen,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,16 hrs and 42 mins,06-11-18,English,5 out of 5 stars13 ratings,"1,003.00"
The Tower of Nero,Writtenby:RickRiordan,Narratedby:RobbieDaymond,12 hrs and 12 mins,06-10-20,English,5 out of 5 stars79 ratings,615.00
"Eldest: The Inheritance Cycle, Book 2",Writtenby:ChristopherPaolini,Narratedby:GerrardDoyle,23 hrs and 29 mins,14-04-09,English,4.5 out of 5 stars47 ratings,957.00
Artemis Fowl,Writtenby:EoinColfer,Narratedby:GerryO'Brien,6 hrs and 46 mins,11-04-13,English,5 out of 5 stars27 ratings,683.00
Geronimo Stilton 22 & 24,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 37 mins,01-02-11,English,4.5 out of 5 stars25 ratings,469.00
Percy Jackson and the Battle of the Labyrinth,Writtenby:RickRiordan,Narratedby:JesseBernstein,10 hrs and 32 mins,21-01-10,English,5 out of 5 stars101 ratings,820.00
Winnie-the-Pooh,Writtenby:A.A.Milne,Narratedby:PeterDennis,2 hrs and 46 mins,28-12-03,English,5 out of 5 stars15 ratings,468.00
Magic Tree House Collection: Books 25-32,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,7 hrs and 9 mins,01-09-20,English,5 out of 5 stars3 ratings,"1,256.00"
Geronimo Stilton #20 and #21,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 32 mins,01-10-10,English,5 out of 5 stars18 ratings,469.00
The Red Pyramid,Writtenby:RickRiordan,"Narratedby:JaneCollingwood,JosephMay",13 hrs and 44 mins,24-01-13,English,4.5 out of 5 stars37 ratings,820.00
Mystery of the Griefer's Mark,Writtenby:WinterMorgan,Narratedby:LukeDaniels,1 hr and 53 mins,25-11-14,English,5 out of 5 stars9 ratings,233.00
Geronimo Stilton #17,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 28 mins,13-07-09,English,5 out of 5 stars8 ratings,468.00
The House at Pooh Corner,Writtenby:A.A.Milne,Narratedby:PeterDennis,3 hrs and 12 mins,05-04-05,English,5 out of 5 stars5 ratings,374.00
Mission Unstoppable,Writtenby:DanGutman,Narratedby:MichaelGoldstrom,6 hrs and 8 mins,01-08-13,English,5 out of 5 stars8 ratings,702.00
Darkness of Dragons,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,10 hrs and 26 mins,01-08-17,English,5 out of 5 stars8 ratings,656.00
"14 Short Stories Bundle for Kids: Adventure, Science Fiction, Aesop’s Fables, Classic Fairy Tales and Christmas Story Books for Children",Writtenby:NayomiPhillips,"Narratedby:MonicaRachelle,JimD.Johnston,KatieOtten",3 hrs and 13 mins,22-01-19,English,Not rated yet,501.00
The Adventures of Rusty,Writtenby:RuskinBond,Narratedby:NehaGargava,5 hrs and 41 mins,01-11-18,Hindi,4.5 out of 5 stars10 ratings,284.00
Geronimo Stilton #15 and #16,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 43 mins,08-02-08,English,4 out of 5 stars28 ratings,467.00
The Lost Heir,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,7 hrs and 23 mins,04-02-16,English,5 out of 5 stars9 ratings,575.00
Everblaze,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,14 hrs and 39 mins,06-11-18,English,5 out of 5 stars18 ratings,836.00
Treasure Hunters in Trouble,Writtenby:WinterMorgan,Narratedby:LukeDaniels,1 hr and 58 mins,31-03-15,English,5 out of 5 stars7 ratings,668.00
Lodestar,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,16 hrs and 31 mins,06-11-18,English,5 out of 5 stars19 ratings,"1,003.00"
Curse of the Arctic Star,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,3 hrs and 35 mins,28-12-14,English,4.5 out of 5 stars25 ratings,305.00
The Ghost of Grey Fox Inn,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,3 hrs and 19 mins,20-03-17,English,5 out of 5 stars11 ratings,305.00
Rowley Jefferson's Awesome Friendly Adventure,Writtenby:JeffKinney,Narratedby:ChristopherGebauer,1 hr and 31 mins,04-08-20,English,4 out of 5 stars16 ratings,410.00
Flashback,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,23 hrs and 9 mins,11-12-18,English,5 out of 5 stars12 ratings,"1,170.00"
Secret of the Red Arrow,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs and 33 mins,04-11-15,English,4.5 out of 5 stars16 ratings,305.00
"The Lightning Thief: Percy Jackson, Book 1",Writtenby:RickRiordan,Narratedby:WalterLewis,3 hrs and 51 mins,13-01-10,English,4 out of 5 stars4 ratings,615.00
Clash of the Creepers,Writtenby:WinterMorgan,Narratedby:LukeDaniels,2 hrs and 1 min,07-07-15,English,5 out of 5 stars10 ratings,233.00
The Skeletons Strike Back,Writtenby:WinterMorgan,Narratedby:LukeDaniels,2 hrs and 1 min,07-07-15,English,5 out of 5 stars7 ratings,233.00
Dragonslayer,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,12 hrs and 44 mins,03-03-20,English,5 out of 5 stars17 ratings,656.00
A Bear Called Paddington,Writtenby:MichaelBond,Narratedby:StephenFry,2 hrs and 39 mins,24-06-08,English,Not rated yet,266.00
Gregor and the Curse of the Warmbloods,Writtenby:SuzanneCollins,Narratedby:PaulBoehmer,7 hrs and 47 mins,26-12-04,English,Not rated yet,"1,005.00"
The Dark Secret,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,7 hrs and 35 mins,01-07-16,English,5 out of 5 stars9 ratings,575.00
The Gruffalo's Child,"Writtenby:JuliaDonaldson,AxelScheffler",Narratedby:ImeldaStaunton,22 mins,19-08-10,English,4.5 out of 5 stars4 ratings,323.00
Merlin Mission Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,13 hrs and 24 mins,02-05-17,English,5 out of 5 stars8 ratings,"1,256.00"
Keys to the Demon Prison,Writtenby:BrandonMull,Narratedby:E.B.Stevens,17 hrs and 37 mins,01-08-13,English,5 out of 5 stars1 rating,516.00
Legacy,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,22 hrs and 55 mins,05-11-19,English,5 out of 5 stars14 ratings,"1,170.00"
The Endermen Invasion,Writtenby:WinterMorgan,Narratedby:LukeDaniels,2 hrs and 2 mins,26-05-15,English,5 out of 5 stars5 ratings,233.00
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,Writtenby:DavPilkey,"Narratedby:LenForgione,AshtonSundholm,JadenRogers",2 hrs and 10 mins,02-11-21,English,5 out of 5 stars1 rating,445.00
You Only Die Twice,Writtenby:DanGutman,Narratedby:MichaelGoldstrom,5 hrs and 49 mins,17-09-13,English,5 out of 5 stars5 ratings,585.00
From Texas with Love,Writtenby:DanGutman,Narratedby:MichaelGoldstrom,5 hrs and 27 mins,28-01-14,English,5 out of 5 stars6 ratings,702.00
Across the Desert,Writtenby:DustiBowling,Narratedby:StacyGonzalez,6 hrs and 13 mins,29-03-22,English,Not rated yet,703.00
Unicorn Academy: Aisha and Silver,Writtenby:JulieSykes,Narratedby:KristinAtherton,1 hr and 34 mins,10-03-22,English,Not rated yet,266.00
Laura Blackman and The Five Cunning Aardvarks,Writtenby:StellaRobson,Narratedby:DerekSteel,13 mins,15-12-21,English,Not rated yet,117.00
The Dragonet Prophecy,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,8 hrs and 32 mins,01-07-12,English,5 out of 5 stars11 ratings,820.00
Dangerous Gift,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,7 hrs and 51 mins,02-03-21,English,5 out of 5 stars9 ratings,445.00
"The 39 Clues, Book 6",Writtenby:JudeWatson,Narratedby:DavidPittu,5 hrs and 10 mins,06-11-09,English,5 out of 5 stars4 ratings,468.00
Never Say Genius,Writtenby:DanGutman,Narratedby:MichaelGoldstrom,5 hrs and 27 mins,23-08-13,English,5 out of 5 stars8 ratings,585.00
The Madman of Black Bear Mountain,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,2 hrs and 54 mins,07-06-16,English,5 out of 5 stars3 ratings,305.00
Unicorn Academy: Zara and Moonbeam,Writtenby:JulieSykes,Narratedby:KristinAtherton,1 hr and 35 mins,10-03-22,English,Not rated yet,266.00
El fantasma de la bodega,Writtenby:FranciscoDíazValladares,Narratedby:NuriaSamsó,2 hrs and 23 mins,04-04-22,spanish,Not rated yet,192.00
El paseo encantado,Writtenby:Mattel,Narratedby:VanessaPérezJurado,33 mins,01-04-22,spanish,Not rated yet,76.00
Wigetta,"Writtenby:Vegetta777,Willyrex",Narratedby:ÁlexdePorrata,3 hrs and 37 mins,05-04-22,spanish,Not rated yet,192.00
Aru Shah and the Nectar of Immortality,Writtenby:RoshaniChokshi,Narratedby:SoneelaNankani,11 hrs and 19 mins,05-04-22,English,Not rated yet,821.00
Barnabas der Wolkenschaufler,"Writtenby:SophieSchoenwald,NadineReitz-Illustrator",Narratedby:BerndReheuser,2 hrs and 56 mins,04-04-22,german,Not rated yet,200.00
The Boy in the Post,Writtenby:HollyRivers,Narratedby:SusieTrayling,6 hrs and 58 mins,01-04-22,English,Not rated yet,706.00
Thornwood,Writtenby:LeahCypess,Narratedby:JessicaAlmasy,5 hrs and 41 mins,05-04-22,English,Not rated yet,904.00
7 histoires d'aventures !,"Writtenby:BertrandFichou,NoraThullin,CatherinedeLasa,","Narratedby:GuyChappelier,FrédéricSanchez,MarieZidi,",43 mins,11-02-22,french,Not rated yet,679.00
Le Loup qui devenait chef de la forêt,Writtenby:OrianneLallemand,Narratedby:WillProduction,9 mins,01-04-22,french,Not rated yet,112.00
Curse of the Robo-Dragon,Writtenby:AdamBlade,Narratedby:TheoSolomon,2 hrs and 6 mins,01-04-22,English,Not rated yet,531.00
Call of the Crow,Writtenby:JessicaKhoury,"Narratedby:MichaelGallagher,EmilyEiden",9 hrs and 30 mins,05-04-22,English,Not rated yet,586.00
Glass Slippers,Writtenby:LeahCypess,Narratedby:KeylorLeigh,5 hrs and 38 mins,05-04-22,English,Not rated yet,904.00
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,Writtenby:DavPilkey,"Narratedby:LenForgione,WinstonBromhead,I'keMitchell",1 hr and 37 mins,05-04-22,English,Not rated yet,586.00
Tiger Honor,Writtenby:YoonHaLee,Narratedby:ElissaPark,7 hrs and 36 mins,04-01-22,English,5 out of 5 stars1 rating,586.00
The Amulet of Samarkand,Writtenby:JonathanStroud,Narratedby:StevenPacey,9 hrs and 30 mins,01-02-07,English,5 out of 5 stars17 ratings,683.00
Rowley Jefferson's Awesome Friendly Spooky Stories,Writtenby:JeffKinney,Narratedby:ChristopherGebauer,1 hr and 29 mins,16-03-21,English,3.5 out of 5 stars7 ratings,410.00
Lost in the End,Writtenby:WinterMorgan,Narratedby:SummerMcCusker,1 hr and 43 mins,06-04-16,English,5 out of 5 stars5 ratings,233.00
Trouble Island,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,4 hrs and 24 mins,01-06-21,English,5 out of 5 stars2 ratings,305.00
Terrors of the Forest,Writtenby:MarkCheverton,Narratedby:NickWalther,8 hrs and 12 mins,25-01-22,English,Not rated yet,703.00
Riverboat Roulette,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,2 hrs and 46 mins,20-03-17,English,5 out of 5 stars4 ratings,305.00
The Book of Chaos,Writtenby:JessicaRenwick,Narratedby:RebaBuhr,5 hrs and 30 mins,15-03-22,English,Not rated yet,"1,172.00"
"Fortunately, the Milk...",Writtenby:NeilGaiman,Narratedby:NeilGaiman,58 mins,22-11-21,English,Not rated yet,683.00
Discoveries in the Overworld,Writtenby:WinterMorgan,Narratedby:SummerMcCusker,1 hr and 49 mins,06-04-16,English,5 out of 5 stars4 ratings,233.00
The Last Human,Writtenby:LeeBacon,Narratedby:PaulPanting,6 hrs and 42 mins,03-10-19,English,5 out of 5 stars7 ratings,949.00
Welcome to Smellville,Writtenby:R.L.Stine,"Narratedby:JordanFisher,DaschaPolanco,JonieceAbbott-Pratt,",3 hrs and 18 mins,29-09-20,English,Not rated yet,585.00
An Explorer's Guide to the Nether,Writtenby:WinterMorgan,Narratedby:SummerMcCusker,1 hr and 50 mins,30-03-16,English,5 out of 5 stars4 ratings,233.00
The Midnight Gang,Writtenby:DavidWalliams,"Narratedby:DavidWalliams,PeterSerafinowicz,MorwennaBanks,",6 hrs and 9 mins,15-11-16,English,4.5 out of 5 stars3 ratings,322.00
As the Falcon Flies,Writtenby:FranklinW.Dixon,Narratedby:AdamVerner,3 hrs and 8 mins,04-01-22,English,Not rated yet,305.00
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,Writtenby:DevinHunter,Narratedby:RamonDeOcampo,2 hrs and 11 mins,30-10-18,English,5 out of 5 stars2 ratings,585.00
Pahua and the Soul Stealer,Writtenby:LoriM.Lee,Narratedby:SamanthaTan,11 hrs and 12 mins,07-09-21,English,Not rated yet,702.00
El monstruo marino secreto,Writtenby:Mattel,Narratedby:VanessaPérezJurado,30 mins,01-04-22,spanish,Not rated yet,76.00
Sabotage on the Solar Express,"Writtenby:M.G.Leonard,SamSedgman","Narratedby:ElisaPaganelli,JotDavies",5 hrs and 35 mins,17-02-22,English,Not rated yet,323.00
A Boy Called Christmas,Writtenby:MattHaig,Narratedby:StephenFry,4 hrs and 32 mins,03-11-16,English,4.5 out of 5 stars21 ratings,569.00
"The 39 Clues, Book 4",Writtenby:JudeWatson,Narratedby:DavidPittu,4 hrs and 37 mins,23-06-09,English,5 out of 5 stars6 ratings,468.00
"The 39 Clues, Book 3",Writtenby:PeterLerangis,Narratedby:DavidPittu,3 hrs and 51 mins,03-03-09,English,5 out of 5 stars9 ratings,468.00
The Disappearance,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs and 50 mins,14-05-19,English,4 out of 5 stars1 rating,305.00
Once Upon a Crime,Writtenby:RobinStevens,"Narratedby:KatieLeung,RebeccaLee,AlexanderCapon,",6 hrs and 50 mins,05-08-21,English,Not rated yet,615.00
Billionaire Boy,Writtenby:DavidWalliams,"Narratedby:DavidWalliams,NitinGanatra",3 hrs and 8 mins,09-06-11,English,5 out of 5 stars1 rating,266.00
The Blue Lady of Coffin Hall,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,3 hrs and 52 mins,04-01-22,English,5 out of 5 stars2 ratings,305.00
Danger at Dead Man's Pass,"Writtenby:M.G.Leonard,SamSedgman,ElisaPaganelli-illustrator",Narratedby:JotDavies,6 hrs and 48 mins,16-09-21,English,Not rated yet,323.00
Unlocked,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,16 hrs and 2 mins,04-06-21,English,3 out of 5 stars5 ratings,836.00
The Danger Gang,Writtenby:TomFletcher,"Narratedby:TomFelton,TomFletcher",4 hrs and 12 mins,01-10-20,English,Not rated yet,615.00
Mountain Mare,Writtenby:TerriFarley,Narratedby:NatalieBudig,3 hrs and 55 mins,25-01-22,English,Not rated yet,398.00
The Princess in Black and the Mermaid Princess,"Writtenby:ShannonHale,DeanHale",Narratedby:JuliaWhelan,20 mins,01-02-22,English,Not rated yet,352.00
The Vanishing Statue,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,4 hrs and 5 mins,16-06-20,English,5 out of 5 stars6 ratings,305.00
Eye of the Earthquake Dragon,Writtenby:TraceyWest,Narratedby:EmilyEllet,45 mins,04-08-20,English,5 out of 5 stars1 rating,164.00
Peril at Granite Peak,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs and 30 mins,21-01-16,English,5 out of 5 stars3 ratings,305.00
Barbie - Aventura espacial,"Writtenby:Mattel,MartaCisaMuñoz-traductor",Narratedby:MiriamMonlleo,12 mins,02-02-22,catalan,Not rated yet,76.00
The Disappearance of Emily Downs,Writtenby:C.J.Redwine,Narratedby:MiaSinclairJenness,4 hrs and 56 mins,30-09-21,English,5 out of 5 stars1 rating,"1,003.00"
The Solution,Writtenby:KatherineApplegate,Narratedby:EmilyEllet,2 hrs and 54 mins,02-11-21,English,Not rated yet,656.00
The Great Greenfield Bake-Off,Writtenby:GertrudeChandlerWarner,Narratedby:AimeeLilly,1 hr and 41 mins,01-09-21,English,Not rated yet,234.00
Into Thin Air,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,2 hrs and 39 mins,21-01-16,English,5 out of 5 stars10 ratings,305.00
Once upon a Thriller,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,2 hrs and 21 mins,24-09-15,English,5 out of 5 stars12 ratings,305.00
The Magician's Nephew,Writtenby:C.S.Lewis,Narratedby:KennethBranagh,3 hrs and 55 mins,29-08-05,English,5 out of 5 stars7 ratings,303.00
Leonora Bolt: Secret Inventor,Writtenby:LucyBrandt,Narratedby:NicoleDavis,2 hrs and 55 mins,20-01-22,English,Not rated yet,410.00
The Snail and the Whale,Writtenby:JuliaDonaldson,Narratedby:ImeldaStaunton,23 mins,07-10-08,English,5 out of 5 stars5 ratings,323.00
Tigers for Dinner,Writtenby:RuskinBond,Narratedby:AdnanKapadia,39 mins,01-01-17,English,4.5 out of 5 stars20 ratings,284.00
The Hidden Kingdom,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,7 hrs and 34 mins,01-07-16,English,5 out of 5 stars9 ratings,575.00
Eagle Strike,Writtenby:AnthonyHorowitz,Narratedby:OliverChris,6 hrs and 57 mins,20-05-21,English,5 out of 5 stars2 ratings,569.00
Captain Marvel - Ultron blir viral,"Writtenby:Marvel,CamillaDunér",Narratedby:MalinLybeck,11 mins,11-01-22,swedish,Not rated yet,32.00
Toy Story 4,"Writtenby:Disney,OskarBlomberg",Narratedby:FrederickHalbout,2 hrs and 27 mins,07-01-22,swedish,Not rated yet,166.00
Three Lost Seeds,"Writtenby:StephieMorton,NicoleWong-illustrator",Narratedby:StevenJayCohen,13 mins,08-02-22,English,Not rated yet,234.00
Mystery on the Mayhem Express,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs and 58 mins,22-06-21,English,5 out of 5 stars1 rating,305.00
Tunnel of Secrets,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs and 3 mins,02-11-15,English,5 out of 5 stars3 ratings,305.00
Barbie - La puerta secreta,"Writtenby:Mattel,NicolásOluchaSánchez",Narratedby:BeatrizOlcina,11 mins,29-11-21,spanish,Not rated yet,38.00
A scuola con Pongo e Tim: Henry Every,Writtenby:GiuliaSegreti,"Narratedby:GiuliaSegreti,MarcoCognigni",11 mins,09-02-22,italian,Not rated yet,75.00
Black Panther: Spellbound,Writtenby:RonaldL.Smith,Narratedby:DionGraham,5 hrs and 38 mins,01-02-22,English,Not rated yet,469.00
"The 39 Clues: Unstoppable, Book 3",Writtenby:NatalieStandiford,Narratedby:DavidPittu,4 hrs and 49 mins,01-05-14,English,4.5 out of 5 stars2 ratings,410.00
Hello Kitty - El Club de la Amistad,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,42 mins,10-11-21,spanish,Not rated yet,76.00
Treasure Island,Writtenby:RobertLouisStevenson,Narratedby:SamTaylor,6 hrs and 44 mins,06-09-19,English,4 out of 5 stars4 ratings,32.00
The Human Body,Writtenby:Ladybird,Narratedby:BenBaileySmith,43 mins,17-09-20,English,Not rated yet,410.00
Minecraft: The Dragon,Writtenby:NickyDrayden,Narratedby:NicoleLewis,6 hrs and 51 mins,06-07-21,English,5 out of 5 stars1 rating,"1,005.00"
The Christmasaurus and the Naughty List,"Writtenby:TomFletcher,ShaneDevries-illustrator","Narratedby:PaulShelley,TomFletcher",6 hrs and 15 mins,14-10-21,English,Not rated yet,615.00
Das Exil,"Writtenby:ShannonMessenger,DorisAttwood-Übersetzer",Narratedby:DavidNathan,15 hrs and 45 mins,25-10-21,german,Not rated yet,468.00
El Cerdito de Navidad [The Christmas Pig],Writtenby:J.K.Rowling,Narratedby:CristinaTenorio,7 hrs and 18 mins,12-10-21,spanish,Not rated yet,799.00
Big Change for Stuart,Writtenby:LissaEvans,Narratedby:LissaEvans,5 hrs and 12 mins,01-09-21,English,Not rated yet,664.00
The Imagination Box: Beyond Infinity,Writtenby:MartynFord,Narratedby:JoshuaMcGuire,5 hrs and 1 min,28-09-21,English,Not rated yet,569.00
Camp Daze,Writtenby:R.L.Stine,"Narratedby:JamesMurray,KirbyHeyborne,InésdelCastillo,",3 hrs,12-10-21,English,Not rated yet,585.00
Vaiana,"Writtenby:Disney,ÅsaMalm",Narratedby:LisaAhnlund,2 hrs and 55 mins,28-10-21,swedish,Not rated yet,166.00
Myth of the Rain Forest Monster,Writtenby:GertrudeChandlerWarner,Narratedby:AimeeLilly,1 hr and 46 mins,01-09-21,English,Not rated yet,234.00
Little Badman and the Time-travelling Teacher of Doom,"Writtenby:HumzaArshad,HenryWhite",Narratedby:HumzaArshad,5 hrs and 35 mins,21-08-20,English,Not rated yet,615.00
The Great Dream Robbery,"Writtenby:GregJames,ChrisSmith","Narratedby:GregJames,ChrisSmith",5 hrs and 48 mins,16-09-21,English,Not rated yet,410.00
Barbie - Superprincesa,"Writtenby:Mattel,NicolásOluchaSánchez",Narratedby:BeatrizOlcina,26 mins,15-10-21,spanish,Not rated yet,38.00
Barbie - El campamento de princesas,Writtenby:Mattel,Narratedby:VanessaPérezJurado,33 mins,07-03-22,spanish,Not rated yet,38.00
Barbie - Dreamtopia,Writtenby:Mattel,Narratedby:VanessaPérezJurado,21 mins,07-03-22,spanish,Not rated yet,38.00
Barbie - Superprincesa,Writtenby:Mattel,Narratedby:VanessaPérezJurado,29 mins,07-03-22,spanish,Not rated yet,38.00
Among Us Book - Red Diary,Writtenby:ZeekidMedia,Narratedby:TommyJay,1 hr and 19 mins,16-06-21,English,Not rated yet,204.00
We’re Going to Find the Monster,"Writtenby:MalorieBlackman,DapoAdeola",Narratedby:MalorieBlackman,6 mins,28-10-21,English,Not rated yet,410.00
Ut i det vilda,Writtenby:ErinHunter,Narratedby:MattiasLinderoth,8 hrs and 15 mins,26-08-21,swedish,Not rated yet,568.00
The Imagination Box: A Mind of Its Own,Writtenby:MartynFord,Narratedby:JoshuaMcGuire,6 hrs and 17 mins,28-09-21,English,Not rated yet,569.00
Dungeons & Dragons: The Mad Mage's Academy,Writtenby:MattForbeck,"Narratedby:GildartJackson,TimCampbell",2 hrs and 15 mins,26-05-20,English,Not rated yet,"1,172.00"
Scary Stories for Young Foxes: The City,"Writtenby:ChristianMcKayHeidicker,JunyiWu-illustrator",Narratedby:ChristianMcKayHeidicker,9 hrs and 13 mins,28-09-21,English,Not rated yet,703.00
Med kunglig stämpel,"Writtenby:JeffreyArcher,MariaNilsson",Narratedby:MagnusSchmitz,29 mins,07-03-22,swedish,Not rated yet,32.00
Bolt,"Writtenby:Disney,NilsWadström",Narratedby:FrederickHalbout,2 hrs and 21 mins,07-03-22,swedish,Not rated yet,166.00
The Tenth Son,"Writtenby:AyanMalpani,AshishMalpani",Narratedby:YohanChacko,4 hrs and 17 mins,01-03-22,English,Not rated yet,186.00
Escape from Falaise,Writtenby:JohnFlanagan,Narratedby:JohnKeating,7 hrs and 37 mins,01-12-21,English,4.5 out of 5 stars2 ratings,797.00
The Jungle Book,"Writtenby:RudyardKipling,LisaChurch-adaptation",Narratedby:RebeccaK.Reynolds,2 hrs and 31 mins,04-08-20,English,Not rated yet,305.00
PJ Masks - 3-Minuten-Gutenachtgeschichten,Writtenby:eOne,Narratedby:MontyArnold,31 mins,31-03-22,german,Not rated yet,99.00
Opapi-Opapa - Volle Kraft voraus!,Writtenby:PaulMcCartney,Narratedby:KaiLüftner,11 mins,29-03-22,german,Not rated yet,65.00
Opapi-Opapa - Besuch von den Krawaffels,Writtenby:PaulMcCartney,Narratedby:KaiLüftner,10 mins,29-03-22,german,Not rated yet,65.00
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,Writtenby:NicolasGorny,Narratedby:MartinBaltscheit,1 hr and 30 mins,31-03-22,german,Not rated yet,300.00
Spidey og hans fantastiske venner,"Writtenby:Marvel,BrianIskov",Narratedby:MathiasKlenske,8 mins,29-03-22,danish,Not rated yet,32.00
Phantom Stallion: Blue Wings,Writtenby:TerriFarley,Narratedby:NatalieBudig,4 hrs and 22 mins,29-03-22,English,Not rated yet,398.00
Super Pigiamini - Storie della buonanotte da 5 minuti,Writtenby:RaffaellaCasati,Narratedby:StefanPopa,1 hr and 4 mins,30-03-22,italian,Not rated yet,113.00
